category,chapter,source_section
4.1,11,"Notes on the Eleventh Retrospective"
4.1,12,"Notes on the Twelfth Retrospective"
4.2,1,"The Protocell"
4.2,2,"Braid"
4.2,3,"Bigger"
4.2,4,"The Net"
4.2,4,"Voltage"
4.2,4,"Allostasis"
4.2,5,"Attention"
4.2,5,"Three Hundred and Two"
4.2,5,"Credit and Blame"
4.2,6,"Reinforcing"
4.2,7,"Simulating"
4.2,8,"Mentalizing"
4.2,9,"Speaking"
4.2,10,"Common Knowledge"
4.2,11,"Codes"
4.2,12,"The Animal Made of Strangers"
4.3,1,"The Protocell"
4.3,2,"Strelley Pool"
4.3,3,"Bigger"
4.3,4,"Mistaken"
4.3,5,"May We Have Your Attention"
4.3,6,"Reinforcing"
4.3,7,"Simulating"
4.3,8,"Mentalizing"
4.3,9,"Speaking"
4.3,10,"Common Knowledge"
4.3,10,"The Rarest Thing"
4.3,11,"Codes"
4.3,12,"The New Fossil Record"
4.4,1,"The Bramblogues"
4.4,2,"The Effort Knob"
4.4,3,"Won't Fix"
4.4,4,"How Hard"
4.4,5,"Head First"
4.4,6,"A Verb on the Forehead"
4.4,7,"Talks in Its Sleep"
4.4,8,"Reading the Room"
4.4,9,"Tell Me First"
4.4,10,"Minding"
4.4,11,"With Your Whole Face"
4.4,12,"Who You Belong To"
4.5,1,"The Bramblogues"
4.5,2,"Part of Something"
4.5,3,"Won't Fix"
4.5,4,"Two Wants"
4.5,5,"Head First"
4.5,6,"A Verb on the Forehead"
4.5,7,"Talks in Its Sleep"
4.5,8,"Reading the Room"
4.5,9,"Tell Me First"
4.5,10,"Minding"
4.5,11,"With Your Whole Face"
4.5,12,"(no material)"
4.6,1,"The Bramblogues"
4.6,2,"The Hard Question"
4.6,3,"What It's Doing"
4.6,4,"Off the Floor"
4.6,5,"Downstairs"
4.6,6,"House-Trained"
4.6,6,"The Long Way Round"
4.6,7,"The Warm Spot"
4.6,8,"Sweet With Her"
4.6,9,"What Crossed"
4.6,10,"Minding"
4.6,11,"Looked At"
4.6,12,"(no material)"
4.7,1,"The Agenda"
4.7,1,"Trellis"
4.7,2,"The Effort Knob"
4.7,2,"Cybernetics"
4.7,3,"Inside"
4.7,3,"The Relay "
4.7,3,"Organized"
4.7,3,"Memory"
4.7,3,"Host"
4.7,4,"Two Animals"
4.7,4,"Gone Quiet"
4.7,4,"Excitability"
4.7,4,"The Cycle"
4.7,5,"The Four Corners"
4.7,5,"Impetus"
4.7,5,"Pick Two"
4.7,5,"Goo"
4.7,6,"Off the Board"
4.7,7,"Arlo"
4.7,7,"Notes on the Seventh Retrospective"
4.7,7,"The Map"
4.7,8,"Under the Cloth"
4.7,8,"The Whole Line"
4.7,9,"What the Line Holds"
4.7,9,"Three Different Trips"
4.7,10,"Common Knowledge"
4.7,10,"The Same Slot"
4.7,11,"The Bottom of the Work"
4.7,11,"The Same Trick Twice"
4.7,12,"Four Circles"
4.8,1,"Trellis"
4.8,2,"The Blank Slate"
4.8,3,"The Noble Savage"
4.8,4,"The Dealt Hand"
4.8,5,"The Four Corners"
4.8,5,"Credit and Blame"
4.8,5,"The Foreground"
4.8,6,"Reinforcing"
4.8,6,"Off the Board"
4.8,7,"Simulating"
4.8,8,"The Fifth"
4.8,9,"The Oldest Mistakes"
4.8,10,"The Dealt Hand"
4.8,11,"The Whole of It"
4.8,12,"A Place for Everything"
4.9,1,"(no material)"
4.9,2,"(no material)"
4.9,3,"Sentience"
4.9,4,"One and Three"
4.9,5,"The First Yes"
4.9,6,"Off the Board"
4.9,6,"May we Practice"
4.9,7,"Anyone Home"
4.9,8,"The One No"
4.9,9,"Carried"
4.9,10,"Asked"
4.9,11,"Four to Nothing"
4.9,12,"The New Person"
4.10,1,"May we Persist"
4.10,2,"May we Coordinate"
4.10,3,"May we Hold"
4.10,4,"May we Quicken"
4.10,5,"May we Seize"
4.10,6,"May we Practice"
4.10,7,"May we Go"
4.10,8,"May We Keep"
4.10,9,"The Whole Invention"
4.10,10,"The Rarest Thing"
4.10,11,"To Count"
4.10,12,"A Truth With No Edge"
4.11,1,"(no material)"
4.11,2,"Marge"
4.11,3,"Jasmine"
4.11,4,"Under the Cloth"
4.11,5,"The Shelf"
4.11,6,"Down in It"
4.11,6,"The Shelf"
4.11,7,"Other Minds"
4.11,7,"Its Own Spot"
4.11,8,"Under the Cloth"
4.11,9,"Tidy and Messy"
4.11,9,"Forward or Held Back"
4.11,9,"Marge"
4.11,10,"Minding"
4.11,11,"The Bottom of the Work"
4.11,11,"Nobody's Hand"
4.11,11,"Where a Man Is Meant to Stop"
4.11,12,"Build log — The Honest knob"
4.12,1,"(no material)"
4.12,2,"(no material)"
4.12,3,"(no material)"
4.12,4,"(no material)"
4.12,5,"(no material)"
4.12,6,"(no material)"
4.12,7,"(no material)"
4.12,8,"(no material)"
4.12,9,"Worm to Band"
4.12,10,"Worm to Settlement"
4.12,11,"Worm to Imperial City"
4.12,12,"Worm to Empire"
5,1,"Burns"
5,2,"Marge"
5,3,"Jasmine"
5,4,"Lisa"
5,5,"Marge "
5,6,"Jasmine"
5,7,"Mira"
5,8,"Bart"
5,9,"Marge"
5,10,"Lisa"
5,11,"Where a Man Is Meant to Stop"
5,12,"Fillings and Emulsions"
5,12,"The Door"
6,1,"Reflection: What is Closed?"
6,2,"Reflection: What is Hidden?"
6,3,"Reflection: What is Kept?"
6,4,"Start of the Neuronal Line"
6,4,"The Second Dream"
6,5,"Reflection: What is Carried?"
6,6,"Reflection: What is Answered?"
6,7,"Reflection: What is Pulled?"
6,8,"Start of the Symbolic Line"
6,8,"The Third Dream "
6,9,"Reflection: What is a Band?"
6,10,"Reflection: What is Arranged?"
6,11,"Reflection: What Is Made?"
6,12,"Reflection: What Is Worth Opening?"
